pl_name,hostname,disposition,disp_refname,discoverymethod,disc_facility,soltype,pl_refname,st_refname,sy_refname,rastr,decstr,rowupdate,pl_pubdate,releasedate,default_flag,sy_snum,sy_pnum,disc_year,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,ttv_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masslim,st_logg,st_loggerr1,st_loggerr2,st_logglim,ra,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,flux__sum_values,flux__median,flux__mean,flux__length,flux__standard_deviation,flux__variance,flux__root_mean_square,flux__maximum,flux__absolute_maximum,flux__minimum
BD+20 594 b,BD+20 594,CONFIRMED,Espinoza et al. 2016,Transit,K2,Published Confirmed,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h34m36.27s,+20d35m56.47s,2018-04-25,2017-03,2018-04-26,1,1.0,1.0,2016.0,0.0,41.6855,0.003,-0.003,0.0,2.57807,0.11209,-0.11209,0.0,0.23,0.01,-0.01,0.0,0.0,5766.0,99.0,-99.0,0.0,1.08,0.06,-0.06,0.0,1.67,0.0,4.5,0.08,-0.08,0.0,53.6511231,20.5990205,179.461,1.257,-1.24,10.849,0.012,-0.012,9.368,0.018,-0.018,10.8644,0.000249,-0.000249,3174.999723060125,0.9999993036657702,0.9999999127748423,3175.0,0.0001128075032742,1.2725532794969351e-08,0.9999999191376092,1.0005857864286989,1.0005857864286989,0.999456878511332
EPIC 201111557.01,EPIC 201111557,CANDIDATE,Livingston et al. 2018,Transit,K2,Published Candidate,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h15m23.10s,-06d16m05.98s,2018-08-02,2018-08,2018-08-02,1,1.0,0.0,2018.0,0.0,2.30183,0.00028,-0.0003,0.0,1.12,0.11,-0.08,0.0,0.0999,0.0098,-0.007,0.0,0.0,4616.52,82.36,-115.56,0.0,0.762602,0.053651,-0.037585,0.0,0.73,0.0,4.53679,0.075486,-0.090593,0.0,183.8462454,-6.2683289,97.1795,0.4642,-0.4598,11.727,0.046,-0.046,9.22,0.019,-0.019,11.3995,0.001307,-0.001307,302.44507638565085,1.0,1.0014737628663934,302.0,0.0109585615054118,0.0001200900702678,1.00153371774496,1.0213346845648232,1.0213346845648232,0.9870065736739586
EPIC 201126503.01,EPIC 201126503,CANDIDATE,Vanderburg et al. 2016,Transit,K2,Published Candidate,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h43m45.26s,-05d52m24.09s,2015-12-05,2016-01,2015-12-05,1,1.0,0.0,2016.0,0.0,1.1947488,0.00041,-0.00041,0.0,4.19,0.24523316,-0.27,0.0,0.37380676,0.02187824,-0.02408783,0.0,0.0,3919.0,114.835,-111.925,0.0,0.57,0.052,-0.045,0.0,0.88,0.0,4.4805,0.0748335,-0.0753969999999999,0.0,175.9385954,-5.8733592,290.062,18.356,-16.325,19.21,0.2,-0.2,14.23,0.07,-0.07,17.8892,0.001662,-0.001662,3545.238048395395,1.0001390976284004,1.0000671504641452,3545.0,0.0108802947555027,0.0001183808139666,1.0001263351454364,1.0532417400972385,1.0532417400972385,0.9581837083540268
EPIC 201127519.01,EPIC 201127519,CANDIDATE,Livingston et al. 2018,Transit,K2,Published Candidate,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h05m29.23s,-05d50m53.79s,2018-08-02,2018-08,2018-08-02,1,1.0,0.0,2018.0,0.0,6.17887,7e-05,-7e-05,0.0,8.84,0.14,-0.13,0.0,0.789,0.012,-0.012,0.0,0.0,4719.28,100.72,-112.19,0.0,0.849432,0.053904,-0.052076,0.0,0.756,0.0,4.45833,0.062492,-0.110798,0.0,181.3718091,-5.8482738,117.704,0.778,-0.767,11.733,0.046,-0.046,9.43,0.021,-0.021,11.4806,0.000478,-0.000478,301.62322422272007,0.9999102807823234,0.998752398088477,302.0,0.0029751502699763,8.851519128940509e-06,0.9987568293666946,1.0014962574445143,1.0014962574445143,0.9868858168392252
EPIC 201147085.01,EPIC 201147085,CANDIDATE,Kruse et al. 2019,Transit,K2,Published Candidate,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h35m36.64s,-05d21m52.60s,2019-09-05,2019-09,2019-09-05,1,1.0,0.0,2019.0,0.0,1.17589,0.0001,-0.0001,0.0,0.86,0.18,-0.26,0.0,0.077,0.016,-0.023,0.0,0.0,5298.0,114.835,-111.925,0.0,0.309,0.057,-0.07,0.0,0.88,0.0,4.4805,0.0748335,-0.0753969999999999,0.0,173.902664,-5.364612,166.5844,4.6875,-4.574,16.64,0.2,-0.2,11.397,0.023,-0.023,13.12655,0.000424,-0.000424,3545.010240800362,0.999984526306332,1.0000028888012304,3545.0,0.0005372168529668,2.8860194711162735e-07,1.0000030331017769,1.002600459637895,1.002600459637895,0.99825519604713
EPIC 201152065.01,EPIC 201152065,CANDIDATE,Kruse et al. 2019,Transit,K2,Published Candidate,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h32m10.39s,-05d14m49.80s,2019-09-05,2019-09,2019-09-05,1,1.0,0.0,2019.0,0.0,10.6966,0.002,-0.0021,0.0,1.45,0.18,-0.36,0.0,0.129,0.016,-0.032,0.0,0.0,5298.0,114.835,-111.925,0.0,0.588,0.041,-0.015,0.0,0.88,0.0,4.4805,0.0748335,-0.0753969999999999,0.0,173.0432884,-5.2471672,212.291,1.408,-1.39,14.346,0.183,-0.183,11.43,0.023,-0.023,13.9562,0.000535,-0.000535,3533.0523101739423,0.9999940160997376,1.000014806163018,3533.0,0.0005884873811172,3.4631739773427764e-07,1.000014979319138,1.002854739634621,1.002854739634621,0.997289754518832
EPIC 201160662.01,EPIC 201160662,CANDIDATE,Kruse et al. 2019,Transit,K2,Published Candidate,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h39m59.48s,-05d02m25.63s,2019-09-05,2019-09,2019-09-05,1,1.0,0.0,2019.0,0.0,1.5374115,6.2e-06,-6.1e-06,0.0,45.0,12.0,-17.0,0.0,4.0,1.1,-1.5,0.0,0.0,5298.0,114.835,-111.925,0.0,1.599,0.047,-0.044,0.0,0.88,0.0,4.4805,0.0748335,-0.0753969999999999,0.0,174.9978388,-5.0404536,666.23,22.917,-21.467,12.382,0.092,-0.092,10.797,0.024,-0.024,12.0464,0.00129,-0.00129,3545.8592294138907,0.999165003521474,0.9999603015831616,3546.0,0.0259549188015393,0.0006736578099945,1.0002970871457548,1.1236745972661777,1.1236745972661777,0.8724471178829802
EPIC 201164625.01,EPIC 201164625,CANDIDATE,Livingston et al. 2018,Transit,K2,Published Candidate,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h06m22.49s,-04d56m48.14s,2018-08-02,2018-08,2018-08-02,1,1.0,0.0,2018.0,0.0,2.71189,0.00068,-0.00056,0.0,4.34,0.43,-0.35,0.0,0.387,0.038,-0.031,0.0,0.0,6402.0,133.53,-125.16,0.0,3.16745,0.174094,-0.203167,0.0,1.28,0.0,3.54386,0.107945,-0.081808,0.0,181.5936878,-4.9467043,1032.42,45.09,-41.543,11.461,0.016,-0.016,10.777,0.023,-0.023,11.8357,0.000338,-0.000338,302.1492232532838,1.0000498828040598,1.000494116732728,302.0,0.000974124070463,9.489177046554056e-07,1.0004945909571457,1.0033389839138176,1.0033389839138176,0.9995625723563268
EPIC 201166680.01,K2-243,CANDIDATE,Mayo et al. 2018,Transit,K2,Published Candidate,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h04m29.07s,-04d53m56.89s,2018-02-15,2018-03,2018-02-15,1,1.0,2.0,2018.0,0.0,18.10549,0.010083,-0.012897,0.0,2.09985108,0.30569846,-0.20056538,0.0,0.19,0.03,-0.02,0.0,0.0,6213.0,50.0,-50.0,0.0,1.224685,0.11631,-0.071545,0.0,0.88,0.0,4.32,0.1,-0.1,0.0,181.1211419,-4.8991358,266.864,3.516,-3.428,10.971,0.012,-0.012,9.591,0.021,-0.021,10.7424,0.000405,-0.000405,301.0092140157063,1.0,1.0000306113478614,301.0,0.0001728359139356,2.987225314597374e-08,1.0000306262835306,1.000399232900968,1.000399232900968,0.9997177745789644
EPIC 201170410.02,EPIC 201170410,CONFIRMED,del Ser &amp; Fors 2020,Transit,K2,Published Confirmed,<a refstr=DEL_SER__AMP__FORS_2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2778D/abstract target=ref>del Ser &amp; Fors 2020</a>,<a refstr=DEL_SER__AMP__FORS_2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2778D/abstract target=ref>del Ser &amp; Fors 2020</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h20m33.81s,-04d48m25.21s,2020-11-13,2020-08,2020-11-19,1,1.0,1.0,2020.0,0.0,6.7987,0.0001,-0.0001,0.0,1.047,0.276,-0.257,0.0,0.09340708,0.02462307,-0.022928,0.0,0.0,3648.0,172.0,-143.0,0.0,0.282,0.074,-0.069,0.0,0.287,0.0,4.999,0.075,-0.075,0.0,170.1408561,-4.8070039,319.814,4.6875,-4.574,17.6984,0.0471,-0.0471,12.619,0.027,-0.027,16.4386,0.007283,-0.007283,3534.9665488748087,0.999895542124632,0.9999905371640194,3535.0,0.0033381209815277,1.1143051687315554e-05,0.9999961087270648,1.015680628372308,1.015680628372308,0.9848362360725464
